date,week_label,theme,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-01-08,2025-01-08,반도체 재료/부품,0.0,68,1723,,False
2025-01-08,2025-01-08,냉각시스템(액침냉각 등),3.9035007355457623,13,64,0.4116914895124148,True
2025-01-08,2025-01-08,여름,0.9428443084269117,30,298,0.35121535770470425,True
2025-01-08,2025-01-08,밸류업(24년 기업가치 제고계획 발표),5.738536273449909,101,2792,0.2728560473524264,True
2025-01-08,2025-01-08,지주사,50.804131160311634,155,7713,0.24952743323281476,True
2025-01-08,2025-01-08,항공/저가 항공사(LCC),5.829913513373965,10,41,0.4664324562298283,True
2025-01-08,2025-01-08,페인트,5.0,8,26,0.447868766736816,True
2025-01-08,2025-01-08,OLED(유기 발광 다이오드),0.0,88,2707,,False
2025-01-08,2025-01-08,맥신(MXene),0.0,11,33,,False
2025-01-08,2025-01-08,반도체 장비,1.9944877101429999,97,3525,0.4061996982298839,True
2025-01-08,2025-01-08,플렉서블 디스플레이,1.707662829695185,27,227,0.33822023225878756,True
2025-01-08,2025-01-08,통신장비,0.0,48,518,,False
2025-01-08,2025-01-08,우주항공산업(누리호/인공위성 등),1.8945813616149685,30,294,0.33346275122024255,True
2025-01-08,2025-01-08,밸류업(25년 기업가치 제고계획 발표),1.9876189193636515,79,1568,0.25154144776187387,True
2025-01-08,2025-01-08,코리아 밸류업 지수(Korea Value-up Index),7.349276418734888,118,3195,0.23185026848004103,True
2025-01-08,2025-01-08,소매유통,1.9372182809369887,24,183,0.33536908282836037,True
2025-01-08,2025-01-08,편의점,0.9275227523092355,7,13,0.28208612500473995,True
2025-01-08,2025-01-08,자동차부품,4.963285469645011,158,7712,0.30994713233489907,True
2025-01-08,2025-01-08,은행,2.0000000000000027,11,47,0.5147247109495752,True
2025-01-08,2025-01-08,日제품 불매운동(수혜),0.8905361497509485,21,93,0.23907327058336914,True
2025-01-08,2025-01-08,패션/의류,3.1436629324517975,63,941,0.23377651759228493,True
2025-01-08,2025-01-08,슈퍼박테리아,0.0,10,32,0.3616663813255394,False
2025-01-08,2025-01-08,유전자 치료제/분석,0.874426975648395,42,477,0.28748703510945106,True
2025-01-08,2025-01-08,면역항암제,1.9525601227138496,33,349,0.3521546078233509,True
2025-01-08,2025-01-08,사료,9.951895571891697,22,206,0.4744906927954383,True
