date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.257875926245619,23,144,0.2817945389662972,True
2025-02-11,1.0846920924960703,23,145,0.2660181827612428,True
2025-02-18,0.5110493834952514,23,127,0.2428006691516669,True
2025-02-25,0.6184086716467406,23,113,0.2356562771986907,False
2025-03-05,0.3918986266040715,23,107,0.1679642870018322,True
2025-03-12,0.6186020591334866,23,103,0.1694121304607804,True
2025-03-19,0.4874964262635933,23,106,0.1544784664505238,True
2025-03-26,0.8847188770307775,23,118,0.1689345118447391,True
2025-04-02,1.1243444253781048,23,131,0.2209162335293643,True
2025-04-09,1.851681273606672,23,188,0.3595902389058984,True
2025-04-16,7.5527862966524,23,245,0.5634849952905165,True
2025-04-23,1.9375837364123545,23,232,0.5807275863447252,True
2025-04-30,1.914588666699892,23,225,0.5356236843115217,True
2025-05-12,1.3943062015941934,23,162,0.3535485719186804,True
2025-05-19,1.4696873686120313,23,117,0.1564960229118329,True
2025-05-26,0.5356664610831253,23,111,0.1607389374598967,True
2025-06-02,0.7966962550202363,23,95,0.1090359626056135,True
2025-06-11,0.9712378191581406,23,104,0.1579206420127684,True
2025-06-18,1.3185492358825703,23,118,0.1860812560813938,True
2025-06-25,0.8258703182799807,23,124,0.2481072266946121,True
2025-07-02,1.84394923652903,23,156,0.304569458548573,True
2025-07-09,0.9373723568760128,23,154,0.3141411396405706,True
2025-07-16,0.249318129837531,23,143,0.2909345945835396,True
2025-07-23,0.736597016411033,23,118,0.1984586467514962,True
2025-07-30,0.7176203683822575,23,85,0.1245992480508848,True
2025-08-06,0.9358827649562212,23,98,0.1763292505396851,True
2025-08-13,1.2457712109739032,23,123,0.1834600596750434,True
2025-08-21,1.19201589080091,23,123,0.1802487766628631,True
2025-08-28,1.5482688670468616,23,167,0.2641771376641343,True
2025-09-04,0.7264273452696396,23,144,0.2232159577068931,True
2025-09-11,1.3433927628924087,23,155,0.235859091818033,True
2025-09-18,1.0474483974616893,23,114,0.1885735524106311,True
2025-09-25,0.8838397463246477,23,138,0.2424088887995875,True
2025-10-02,1.536507751920271,23,141,0.2846934183392373,True
2025-10-16,1.6159129537810952,23,131,0.2585682586970584,True
2025-10-23,1.580184346015488,23,144,0.2568392917745983,True
2025-10-30,1.5003608769108192,23,129,0.2331949226251876,True
2025-11-06,1.6257735016465549,23,122,0.210337243986618,True
2025-11-13,1.507421409495619,23,137,0.265799707413076,True
2025-11-20,1.194146881139188,23,145,0.298493315827578,True
2025-11-27,1.4101163188662234,23,179,0.3816593040704567,True
2025-12-04,1.135931923006472,23,182,0.4167770777297463,True
2025-12-11,0.8326538238406895,23,180,0.3895904336531944,True
2025-12-18,0.874626048084403,23,183,0.3863012532181733,True
2025-12-26,0.88726411079266,23,158,0.3088373510917448,True
2026-01-06,0.8657127684634807,23,131,0.2372543790791995,True
2026-01-13,0.8182029519527501,23,122,0.2255463726637719,True
2026-01-20,0.7960394005822248,23,111,0.1541205314648139,True
2026-01-27,0.8016229758901892,23,97,0.1155025257635708,True
2026-02-03,0.255312201398459,23,114,0.1920205611801671,True
