date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,1.1193335665014479,25,159,0.22620782140022982,True
2025-02-11,1.510211022210724,25,149,0.18466963253187874,True
2025-02-18,0.7888380558552457,25,136,0.18179017622748314,True
2025-02-25,1.2082389605015837,25,132,0.18218690996204487,True
2025-03-05,1.577502093813981,25,162,0.2421082428201559,True
2025-03-12,1.5092013892166314,25,167,0.2433742381212526,True
2025-03-19,1.3406342620395089,25,155,0.23708373692505147,True
2025-03-26,1.3114535069841762,25,170,0.24133544068323398,True
2025-04-02,0.9809089544088831,25,152,0.2126124889917401,False
2025-04-09,1.2479796081284025,25,188,0.2985693555589275,True
2025-04-16,1.225348747597107,25,228,0.4367484115763369,True
2025-04-23,0.6237598979034069,25,225,0.42777332946758034,True
2025-04-30,1.3330431151974698,25,200,0.35348585338792926,True
2025-05-12,1.5802572690831005,25,151,0.21359901361068448,True
2025-05-19,0.5473042082052783,25,90,0.0440726094397489,True
2025-05-26,0.6014504557327406,25,86,0.05463766229178359,True
2025-06-02,0.8662204153990657,25,107,0.09397661559654524,True
2025-06-11,1.1584199671703823,25,155,0.2454138648169528,True
2025-06-18,1.160786704752423,25,137,0.22218159843869045,True
2025-06-25,0.991165699250773,25,122,0.17802296773930074,True
2025-07-02,0.5853131245515767,25,156,0.2341496952884713,True
2025-07-09,0.8575286760780099,25,155,0.23452072895419215,True
2025-07-16,1.5638862809543286,25,164,0.2326345278466018,True
2025-07-23,1.1900767756733608,25,192,0.3034174974456242,True
2025-07-30,0.7715370425485795,25,151,0.21033896235078947,True
2025-08-06,1.2440448483234479,25,188,0.29973122625824894,True
2025-08-13,1.2218963571981636,25,181,0.3081712274367532,True
2025-08-21,1.4154036910205834,25,188,0.2950704294539141,True
2025-08-28,1.3886315443319737,25,192,0.30470683802505827,True
2025-09-04,0.7634336046504696,25,118,0.12663631845606685,True
2025-09-11,0.8159834070486749,25,115,0.1193790057200952,True
2025-09-18,1.1460366181587809,25,142,0.14392840880216723,True
2025-09-25,0.8424657847152703,25,124,0.14043632390746963,True
2025-10-02,1.2970632311151113,25,155,0.22334535441787617,True
2025-10-16,1.823404366260023,25,164,0.2470685791001534,True
2025-10-23,1.2596001301927588,25,156,0.22942393297114524,True
2025-10-30,1.2183935313469856,25,188,0.276125758709899,True
2025-11-06,1.156937904365786,25,147,0.20678178302773031,True
2025-11-13,1.2270081651077978,25,167,0.24625719769583113,True
2025-11-20,1.6254543490364226,25,184,0.28973889168134065,True
2025-11-27,1.0702701972707316,25,167,0.2668913887590786,True
2025-12-04,1.1565286413580906,25,167,0.2751918854321684,True
2025-12-11,1.1158450593815799,25,134,0.19422947029454474,True
2025-12-18,1.0934889028439616,25,106,0.13162865905804028,True
2025-12-26,0.8600155636399616,25,102,0.13030573425009953,True
2026-01-06,1.5360702180213828,25,137,0.12010952420877473,True
2026-01-13,1.5007779341213776,25,136,0.157971210963703,True
2026-01-20,0.771431572459047,25,114,0.1514214672686223,True
2026-01-27,1.4052423536395953,25,140,0.23211420571095862,True
