date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.29721624640269817,7,11,0.23476573886902954,True
2025-02-11,0.12515562666186433,7,9,0.15190796698633094,True
2025-02-18,0.08462461570606845,7,8,0.1594557399072127,True
2025-02-25,4.0081134544379264e-49,7,7,0.1856181999396469,False
2025-03-05,0.19745514243756346,7,9,0.20326127569517258,True
2025-03-12,5.992545734006014e-95,7,8,0.17227068696718476,False
2025-03-19,0.16281484741425697,7,7,0.08013303815069309,True
2025-03-26,2.3970182936024055e-94,7,7,0.11335794173417499,False
2025-04-02,0.31082058500774645,7,10,0.14898154009044126,True
2025-04-09,0.6876617357398067,7,15,0.26140035508916676,True
2025-04-16,0.3557913812244166,7,16,0.3567438431074395,True
2025-04-23,0.8184746485768737,7,17,0.38038768104975323,True
2025-04-30,0.5095348805034137,7,16,0.34214880245653534,True
2025-05-12,0.33895255825163123,7,11,0.2008031021390008,True
2025-05-19,6.798699777552437e-17,7,8,0.015639930336205567,False
2025-05-26,4.5324665183684666e-17,7,10,0.03854577817364198,False
2025-06-02,6.136366831622158e-92,7,6,0.09822653533503868,False
2025-06-11,0.35861510576586675,7,11,0.28549442139716597,True
2025-06-18,7.670458539527698e-93,7,10,0.2884323884683863,False
2025-06-25,5.274152709849785e-93,7,7,0.2047419438139498,False
2025-07-02,4.429100651198843e-94,7,9,0.18637860787743443,False
2025-07-09,6.136366831622158e-92,7,7,0.1433322046091948,False
2025-07-16,2.2662332591842965e-17,7,8,0.20277796040183108,False
2025-07-23,0.40157694355725154,7,12,0.2030212869847722,True
2025-07-30,0.3627160522637527,7,12,0.26650255768363645,True
2025-08-06,1.6583767540118677,7,18,0.44086766348305256,True
2025-08-13,2.3824084490418582,7,20,0.5034170213806827,True
2025-08-21,2.602860760064147,7,20,0.5506564121771907,True
2025-08-28,3.5977681144659814,7,21,0.6081588826815603,True
2025-09-04,0.8095647059101783,7,14,0.3971914606349588,True
2025-09-11,1.6130243609382369,7,19,0.4200562610478822,True
2025-09-18,1.1079566705078197,7,16,0.291407260930951,True
2025-09-25,0.6214277856169529,7,14,0.22855609525743487,True
2025-10-02,0.4202787354075739,7,13,0.2899363645511109,True
2025-10-16,0.41531302730487846,7,14,0.3382440224779943,True
2025-10-23,0.3790555636244473,7,15,0.37983102237476296,True
2025-10-30,0.39498821634395764,7,15,0.3291871161875586,True
2025-11-06,1.2983193879253805,7,17,0.3823635559362827,True
2025-11-13,1.8712538401670646,7,19,0.4858478914757828,True
2025-11-20,1.7306125548804612,7,18,0.5078309398807036,True
2025-11-27,3.4765419762185923,7,21,0.6210491192432601,True
2025-12-04,3.6793101965566444,7,21,0.6323072278302609,True
2025-12-11,2.660153082936352,7,21,0.48535347881709373,True
2025-12-18,1.0016527351332272,7,15,0.3392387382065749,True
2025-12-26,0.6134376468248155,7,12,0.24664608420988868,True
2026-01-06,0.7053940100400378,7,12,0.2645251231604141,True
2026-01-13,0.4736256538885123,7,11,0.2528620663115947,True
2026-01-20,0.25547489590645134,7,10,0.20525148879377075,True
2026-01-27,9.064933036736729e-17,7,10,0.22175194287158875,False
2026-02-03,0.6107843115328577,7,13,0.32796037815908763,True
2026-02-10,0.9554992060585983,7,15,0.39974529949536536,True
