date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,1.104433205813368,22,99,0.1513220276862667,True
2025-02-11,1.0094815103841537,22,107,0.18256262505367568,True
2025-02-18,1.3579790879569509,22,115,0.1883731621779015,True
2025-02-25,0.7981040751702388,22,105,0.1628565499703915,True
2025-03-05,0.32847704442181813,22,104,0.21976458918513594,True
2025-03-12,0.6122167261126675,22,102,0.16723570162914586,True
2025-03-19,1.0455964187542766,22,90,0.17645984912626125,True
2025-03-26,0.6137721072582003,22,94,0.1927715756762603,True
2025-04-02,1.2076524182401114,22,135,0.2555490872509991,True
2025-04-09,0.6370435325289152,22,177,0.415634506816168,True
2025-04-16,0.5506489943899506,22,182,0.4606351945545597,True
2025-04-23,0.8164981799568894,22,180,0.4373783822085543,True
2025-04-30,1.45508850291068,22,179,0.4404204740712117,True
2025-05-12,1.8962606757034384,22,133,0.26096889279849333,True
2025-05-19,1.1475602152949955,22,102,0.1392107320940882,True
2025-05-26,0.8099945559172759,22,95,0.12231162322785705,True
2025-06-02,0.870121525846387,22,91,0.14210873707830907,True
2025-06-11,0.5403296974357692,22,96,0.19517428173289425,True
2025-06-18,0.8468516408291601,22,109,0.19916783552537512,True
2025-06-25,0.6330773437115598,22,140,0.27157178069649757,True
2025-07-02,0.3301056320208326,22,167,0.3357251041422857,True
2025-07-09,1.8037504134935642,22,152,0.28519270936398333,True
2025-07-16,1.8423900483655076,22,149,0.2883626185065624,True
2025-07-23,0.5764440061591009,22,156,0.2941545350475554,True
2025-07-30,0.33074276342876335,22,130,0.24051646443849006,True
2025-08-06,1.4941079580476193,22,153,0.28360158038944533,True
2025-08-13,1.3074915018249627,22,143,0.2853182402579013,True
2025-08-21,0.664714225855981,22,138,0.2830472632779005,True
2025-08-28,0.6464258797020839,22,125,0.24066284553478604,True
2025-09-04,1.2475801737125123,22,103,0.12624421708906067,True
2025-09-11,1.4458392180293067,22,113,0.12138092720865085,True
2025-09-18,1.1991767091037935,22,90,0.14277871201382716,True
2025-09-25,0.6596493575927745,22,98,0.19118616579959377,True
2025-10-02,0.568111681769152,22,108,0.16501709794173114,True
2025-10-16,1.2063389800059878,22,125,0.2039375963222338,True
2025-10-23,1.2047704506502968,22,136,0.21684264613878562,True
2025-10-30,1.5114523225787158,22,115,0.2208748418934593,True
2025-11-06,1.6017381406525306,22,122,0.24891407177937327,True
2025-11-13,2.3931420492026505,22,137,0.2785370084800541,True
2025-11-20,0.9853735681335831,22,127,0.2698845951411056,True
2025-11-27,0.9062601763206106,22,123,0.24736933405935127,True
2025-12-04,0.34821412728682527,22,121,0.24629320429872142,True
2025-12-11,0.7751562673630336,22,108,0.23173236297779504,True
2025-12-18,1.1479685745039705,22,111,0.209076805711588,True
2025-12-26,0.4996162131011912,22,116,0.20855635367482625,True
2026-01-06,0.7115150787005113,22,105,0.14848190237003447,True
2026-01-13,1.040875940417405,22,97,0.16137180361171724,True
2026-01-20,1.5980719974510111,22,117,0.208880329151066,True
2026-01-27,0.8602850967978541,22,115,0.25185899742372575,True
2026-02-03,1.3580001062671196,22,137,0.2646607841035455,True
2026-02-10,1.3216850255807941,22,147,0.3332049467527097,True
