date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.1415121477906789,10,13,0.1008696454351401,True
2025-02-11,0.4583303378730496,10,21,0.0861860638702096,True
2025-02-18,0.1970520292008098,10,23,0.1904235614336202,True
2025-02-25,0.0851890768846902,10,19,0.1563578372836042,True
2025-03-05,0.4010307627070931,10,22,0.1806193156262623,True
2025-03-12,0.3053765118988706,10,22,0.1874505483763142,True
2025-03-19,0.2561632208864262,10,21,0.0951896297342756,True
2025-03-26,8.199516555308386e-77,10,13,0.0951411847755367,False
2025-04-02,0.2248123436596013,10,17,0.1532500146738366,True
2025-04-09,0.2697367512771959,10,20,0.1891908362629129,True
2025-04-16,1.5865814879381035,10,35,0.377777032988093,True
2025-04-23,1.3078516276998011,10,32,0.3947698284285788,True
2025-04-30,1.3884728446406676,10,32,0.4045065069520671,True
2025-05-12,1.9199344462200856,10,38,0.4737320983201152,True
2025-05-19,3.0040008775966665,10,40,0.4877189840884778,True
2025-05-26,1.7096800694819294,10,40,0.4555329881298972,True
2025-06-02,0.9763488682266492,10,36,0.4724862746381689,True
2025-06-11,0.2646389068499213,10,28,0.323239652090177,True
2025-06-18,0.264278206472723,10,27,0.3223192660642487,True
2025-06-25,0.5158316529156239,10,28,0.3526811086008143,True
2025-07-02,1.9913181582995971,10,38,0.3921844637595115,True
2025-07-09,1.4594735238849854,10,36,0.4085568778075412,True
2025-07-16,1.098853376140478,10,31,0.362290687908454,True
2025-07-23,0.3062441034856665,10,26,0.305412216247948,True
2025-07-30,0.1231183587624952,10,21,0.1980034883421846,True
2025-08-06,0.6580437183132496,10,24,0.1735317357156086,True
2025-08-13,0.6610062331823712,10,23,0.1483686213175758,True
2025-08-21,0.2582089999733323,10,22,0.2522337491405454,True
2025-08-28,0.2066665426325837,10,21,0.2760509939640591,True
2025-09-04,0.6744972963061066,10,28,0.3104846710094884,True
2025-09-11,0.6653927353994445,10,25,0.2675384414869723,True
2025-09-18,0.2693975639883216,10,19,0.1839677466938137,True
2025-09-25,0.2812987795288898,10,19,0.1564343868130931,True
2025-10-02,0.904247903272859,10,26,0.2648572655701798,True
2025-10-16,0.82557325551651,10,26,0.2658380605320936,True
2025-10-23,0.4948942167910451,10,26,0.3263225653649041,True
2025-10-30,1.441018123256887,10,38,0.4210899274698969,True
2025-11-06,0.4031379486805625,10,24,0.2523770885752733,True
2025-11-13,0.7991266408096149,10,30,0.3479571731169685,True
2025-11-20,0.595549148679944,10,31,0.3903829733697647,True
2025-11-27,1.1015410818988969,10,35,0.3708068757187497,True
2025-12-04,2.772692469248798,10,43,0.4952503463009564,True
2025-12-11,1.7103452680029738,10,38,0.4641698522952578,True
2025-12-18,0.6452832152088269,10,28,0.3244138919455198,True
2025-12-26,0.8338837459829301,10,33,0.3959943915198483,True
2026-01-06,0.7158752331351479,10,23,0.2622958907029836,True
2026-01-13,0.7328788285345171,10,24,0.2954338065929044,True
2026-01-20,0.5615317687157928,10,34,0.3865977226641801,True
2026-01-27,1.014130382801702,10,33,0.3789457484068509,True
